borough	leggi_year	domestic_coal	domestic_electricity	domestic_gas	domestic_oil	domestic_total	industrial_and_commercial_coal	industrial_and_commercial_electricity_w_o_rail	industrial_and_commercial_gas	industrial_and_commercial_oil	industrial_and_commercial_total	industrial_and_commercial_waste_and_renewables	total_total	transport_aviation	transport_railways_diesel	transport_railways_electric	transport_road_transport	transport_shipping	transport_total	gss
Brent	2015	1.247621357	165.2927441	269.0018325	1.392563372	436.9347613	0	185.53835	100.3288862	23.23838194	313.6339697	4.528351568	1003.269262	0.334908569	8.948791168	38.42999244	204.9868393	0	252.7005315	E09000005
Brent	2016	1.127960938	131.8086633	280.1226817	1.408732423	414.4680383	0	191.6744443	98.77778616	23.53855264	288.0697775	4.8724388	954.8417968	0.303491981	9.247727478	30.79344448	211.934302	0.025015052	252.303981	E09000005
Brent	2010	0.819024956	234.3313957	345.9001263	1.48935164	582.5398986	0	266.0162088	105.2131771	27.89470224	399.1240882	0	1260.531287	0.322564002	8.774775882	69.09936524	200.670595	0	278.8673001	E09000005
Brent	2011	0.755718679	215.6259212	282.7408295	1.360123732	500.4825931	0	221.8571971	92.08287834	22.57221459	336.5122901	0	1115.862183	0.322564002	8.774775882	69.09936524	200.670595	0	278.8673001	E09000005
Brent	2014	1.172137061	195.7309013	293.0823903	1.382319103	491.3677478	0	369.5158178	106.32531	20.75187958	500.6221386	4.029131093	1255.74889	0.334508414	8.948791168	44.1516092	210.3240952	0	263.759004	E09000005
Bromley	2011	2.480814722	286.9283121	370.5594889	3.828376775	663.7969925	0.12867967	170.9577322	69.51200085	22.05743707	262.7236049	0.067755053	1225.903921	1.41119564	1.265565585	49.72888857	246.9776735	0	299.3833233	E09000006
Bromley	2012	2.389811949	286.2841545	410.6011965	3.870375845	703.1455388	0.153708593	174.4950028	78.69407763	21.57385818	274.9892419	0.0725947	1277.518104	1.41119564	1.265565585	49.72888857	246.9776735	0	299.3833233	E09000006
Bromley	2010	2.662820268	307.7834642	454.0329057	4.303289336	768.7824795	0.15238382	191.767109	84.21665767	23.13690994	299.3327494	0.059688975	1367.498552	1.41119564	1.265565585	49.72888857	246.9776735	0	299.3833233	E09000006
Bromley	2015	2.303028706	217.8025871	364.0300726	3.738963761	587.8746522	0.002151616	146.92061	72.30427122	20.19583334	247.138447	7.715580878	1107.767738	1.410701574	0.763558901	18.93378502	251.6465933	0	272.7546388	E09000006
Bromley	2013	2.827557224	286.0071325	417.2183861	3.698877025	709.7519529	0.022287374	178.6829984	83.07316237	18.16277492	280.0414974	0.100274354	1283.749629	1.410718042	1.397640299	41.44415108	249.7036694	0	293.9561789	E09000006
Bromley	2014	2.172544287	257.0013425	349.1871737	3.712221227	612.0732816	0.01025181	186.7696335	68.12116691	19.56462102	281.3311784	6.865505173	1173.722799	1.410701574	0.763558901	22.08224759	256.0618306	0	280.3183386	E09000006
Bromley	2016	2.0841736	170.3604755	370.9206774	3.781861316	547.1471878	0.00219282	126.6762055	70.81110475	21.8326873	212.5300412	8.301850037	1031.357846	1.396872157	0.700289896	15.09399924	254.4894559	0	271.6806171	E09000006
Bromley	2017	2.446244499	151.7814693	389.6248238	3.484387306	547.3369249	0.002325436	111.1238775	71.5016266	21.90189591	199.0912797	8.24484683	1021.4132520000001	1.41078323	0.709534612	13.68329258	259.1814371	0	274.9850475	E09000006
Camden	2016	0.382820118	107.6615273	174.1833825	2.667381698	284.8951117	0.060405365	404.1666068	270.4066246	18.88085142	662.2839246	1.527386439	1139.184446	0	6.986121853	32.75795005	152.2420421	0.019295474	192.0054094	E09000007
Camden	2017	0.449380675	96.64989102	181.3373134	2.40422683	280.840812	0.055063136	371.0526546	265.7286503	18.06984135	626.8535135	1.516898906	1100.088512	0	6.510956843	29.5695948	156.3136354	0	192.394187	E09000007
Camden	2015	0.423027358	135.4476691	167.523291	2.640035239	306.0340227	0.119633062	480.1379853	244.8955012	16.99344168	743.5660851	1.419523787	1252.737245	0	7.006704066	40.8863963	155.2440371	0	203.1371375	E09000007
Camden	2011	0.648889337	178.3783935	178.2780525	2.613634439	359.9189698	0	626.4951722	258.4806202	11.76500639	896.7407989	0	1484.487802	0	8.427626564	61.18219248	158.2182146	0	227.8280337	E09000007
Camden	2013	0.801177873	179.2022143	197.6112704	2.685625675	380.3002882	0.021234039	639.493564	301.6757508	11.73424758	952.9247964	0	1557.823334	0	9.534538662	61.28684538	153.776865	0	224.598249	E09000007
Camden	2014	0.399027898	161.8452665	183.7344877	2.625507197	348.6042893	0	598.9982503	248.2504535	11.00887783	859.5206124	1.263030783	1420.426571	0	7.006704066	47.00821917	158.2867461	0	212.3016693	E09000007
Camden	2010	0.700325687	192.5183383	217.7138685	3.347002817	414.2795353	0.006772614	704.2380585	291.7871459	12.35466065	1008.386638	0	1650.494207	0	8.427626564	61.18219248	158.2182146	0	227.8280337	E09000007
Camden	2012	0.621192841	178.8735505	193.8239955	2.645941416	375.9646803	0	645.389614	286.3723597	10.2643519	942.0263256	0	1545.81904	0	8.427626564	61.18219248	158.2182146	0	227.8280337	E09000007
City of London	2011	0	12.54587416	5.960543788	0.109843722	18.61626166	0.020317843	1139.67172	140.8008695	3.266497399	1283.759405	0	1373.561645	1.174656676	0.010794913	19.12360534	48.42569621	2.451225323	71.18597846	E09000001
City of London	2017	0.001729696	7.817879152	5.215569676	0.087120868	13.12229939	0.018354379	562.6960252	155.0161289	13.98266436	718.9446753	0.006607126	806.5705509	1.2266512999999999	0	12.77510462	54.89819447	5.603625787	74.50357618	E09000001
City of London	2010	0	13.85617527	7.220146358	0.138920001	21.21524163	0.020317843	1374.345398	175.7737722	3.581603642	1553.721091	0	1646.122311	1.174656676	0.010794913	19.12360534	48.42569621	2.451225323	71.18597846	E09000001
City of London	2014	0.001511507	12.54629546	5.511700859	0.095328343	18.15483616	0	912.0751967	123.8411572	9.515205563	1045.437057	0.005497811	1140.8859	1.277338555	0	20.20680939	53.77687113	2.032987018	77.29400609	E09000001
City of London	2015	0.001613569	10.73821748	5.30780382	0.095843211	16.14347808	0.039877687	839.7422239	149.9605512	12.62911358	1002.377945	0.006179005	1091.724898	1.443405498	0	17.66629608	52.06075125	2.033021748	73.20347457	E09000001
City of London	2012	0	13.16890868	6.218773127	0.109843722	19.49752553	0.014638914	1192.370394	151.0238379	3.179141212	1346.588012	0	1437.271516	1.174656676	0.010794913	19.12360534	48.42569621	2.451225323	71.18597846	E09000001
City of London	2013	0	13.42140546	6.421369154	0.108252246	19.95102686	0.023028284	1184.064963	150.365039	8.993438344	1343.446469	0	1438.388047	1.240653664	0.011921472	22.79947102	48.54743253	2.391073103	74.99055179	E09000001
City of London	2016	0.001457793	8.210759731	5.496132343	0.096827505	13.80517737	0.020135122	660.3303471	142.2450823	14.63482008	803.0641484	0.006648518	890.7444457	1.275402669	0	14.17288477	52.81785311	5.608979334	73.87511989	E09000001
Croydon	2013	2.819004963	304.5616516	414.6828237	2.335464259	724.3989446	0.196436464	284.907168	89.8355736	7.371442868	382.3600724	0.049451499	1393.945783	0.282968317	1.994960574	54.10208155	230.8067557	0	287.1867662	E09000008
Croydon	2014	2.712689065	273.9553018	349.2545966	2.365139845	628.2877273	0.211959009	248.681213	71.06186954	8.519219534	337.5058992	9.031638068	1234.824574	0.282965013	1.359427194	26.89482152	240.4937337	0	269.0309474	E09000008
Croydon	2011	2.377942022	303.6426507	371.5721207	2.400408391	679.9931218	0.325085482	276.0364413	81.4957841	11.27830764	369.16143	0.025811449	1343.113606	0.283064115	1.806440076	63.00986409	227.7015204	1.158165432	293.9590541	E09000008
Croydon	2012	2.290895892	304.6556659	407.7141716	2.42948467	717.0902181	0.351333926	285.6431199	90.05186405	11.65581116	387.7295537	0.027424664	1398.778826	0.283064115	1.806440076	63.00986409	227.7015204	1.158165432	293.9590541	E09000008
Croydon	2017	3.071673265	160.5550312	390.8342375	2.240215798	556.7011578	0.073089633	176.7248211	85.72637207	10.08979973	266.5620057	10.83801006	1071.059172	0.282981392	1.263243275	16.89008683	229.3596974	0	247.7960089	E09000008
Croydon	2015	2.882616463	231.8008337	363.5299389	2.383653689	600.5970427	0.141070958	222.1856197	76.44287839	9.988858899	318.9007635	10.14233554	1179.741381	0.282965013	1.359427194	23.22572455	235.3754577	0	260.2435745	E09000008
Croydon	2010	2.559947568	322.6542002	452.6313607	2.549020485	780.3945289	0.348789631	315.5878641	100.2911986	12.80392104	429.0543583	0.022585018	1503.407941	0.283064115	1.806440076	63.00986409	227.7015204	1.158165432	293.9590541	E09000008
Croydon	2016	2.607169121	181.7146067	371.3681064	2.411991737	558.101874	0.085421657	183.0600033	82.13049996	9.923598139	267.7448841	10.9141344	1081.11541	0.280191045	1.297539664	18.36877333	235.3221482	0	255.2686523	E09000008
Ealing	2017	2.08452526	130.1446729	318.2540336	1.640010185	452.1232419	0.197548441	245.8908579	136.114158	27.84570841	400.0014225	7.25346252	1161.306291	0.14793968	13.43130483	17.30031275	278.3020692	0	309.1816265	E09000009
Ealing	2012	1.998104362	245.3070994	337.4995954	1.767191642	586.5719908	0.289118544	428.366548	144.2761557	29.83213766	602.7639599	0	1519.486664	0.16597503	21.75708299	31.04554975	277.1821057	0	330.1507135	E09000009
Ealing	2013	2.46306103	244.6042669	343.6200608	1.722336837	592.4097256	0.507292038	446.2138344	149.2696563	20.4632983	616.4540811	0	1543.067314	0.185746162	23.75448167	32.86985615	277.3934238	0	334.2035078	E09000009
